"","V1","V2"
"1","font-family-sans-serif","system-ui, -apple-system, ""Segoe UI"", Roboto, ""Helvetica Neue"", ""Noto Sans"", ""Liberation Sans"", Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol"", ""Noto Color Emoji"""
"2","font-family-monospace","""Source Code Pro"", SFMono-Regular, Menlo, Monaco, Consolas, ""Liberation Mono"", ""Courier New"", monospace"
"3","font-family-base","Lexend"
"4","font-family-code","var(--bs-font-monospace)"
"5","font-size-root",NA
"6","font-size-base","1rem"
"7","font-size-sm","0.875rem"
"8","font-size-lg","1.25rem"
"9","font-weight-lighter","lighter"
"10","font-weight-light","300"
"11","font-weight-normal","400"
"12","font-weight-medium","500"
"13","font-weight-semibold","600"
"14","font-weight-bold","700"
"15","font-weight-bolder","bolder"
"16","font-weight-base","400"
"17","h1-font-size","2.1rem"
"18","h2-font-size","2rem"
"19","h3-font-size","1.75rem"
"20","h4-font-size","1.5rem"
"21","h5-font-size","1.25rem"
"22","h6-font-size","1rem"
"23","headings-font-family","""DM Serif Display"""
"24","headings-font-style",NA
"25","headings-font-weight","400"
"26","display-font-family",NA
"27","display-font-style",NA
"28","display-font-weight","300"
"29","lead-font-size","1.25rem"
"30","lead-font-weight","300"
"31","small-font-size","0.875em"
"32","sub-sup-font-size","0.75em"
"33","initialism-font-size","0.875em"
"34","blockquote-font-size","1.25rem"
"35","blockquote-footer-font-size","0.875em"
"36","legend-font-size","1.5rem"
"37","legend-font-weight",NA
"38","dt-font-weight","700"
"39","table-th-font-weight",NA
"40","input-btn-font-family",NA
"41","input-btn-font-size","15px"
"42","input-btn-font-size-sm","0.875rem"
"43","input-btn-font-size-lg","1.25rem"
"44","btn-font-family",NA
"45","btn-font-size","15px"
"46","btn-font-size-sm","0.875rem"
"47","btn-font-size-lg","1.25rem"
"48","btn-font-weight","500"
"49","form-text-font-size","0.875em"
"50","form-text-font-style",NA
"51","form-text-font-weight",NA
"52","form-label-font-size",NA
"53","form-label-font-style",NA
"54","form-label-font-weight",NA
"55","input-font-family",NA
"56","input-font-size","15px"
"57","input-font-weight","400"
"58","input-font-size-sm","0.875rem"
"59","input-font-size-lg","1.25rem"
"60","form-check-min-height","1.5rem"
"61","input-group-addon-font-weight","400"
"62","form-select-font-family",NA
"63","form-select-font-size","15px"
"64","form-select-font-weight","400"
"65","form-select-font-size-sm","0.875rem"
"66","form-select-font-size-lg","1.25rem"
"67","form-feedback-font-size","0.875em"
"68","form-feedback-font-style",NA
"69","nav-link-font-size",NA
"70","nav-link-font-weight",NA
"71","navbar-brand-font-size","1.25rem"
"72","nav-link-height","2.5rem"
"73","navbar-brand-height","1.875rem"
"74","navbar-toggler-font-size","1.25rem"
"75","dropdown-font-size","1rem"
"76","pagination-font-size","1rem"
"77","tooltip-font-size","0.875rem"
"78","form-feedback-tooltip-font-size","0.875rem"
"79","popover-font-size","0.875rem"
"80","popover-header-font-size","1rem"
"81","toast-font-size","0.875rem"
"82","badge-font-size","0.75em"
"83","badge-font-weight","700"
"84","alert-link-font-weight","700"
"85","progress-font-size","0.75rem"
"86","figure-caption-font-size","0.875em"
"87","breadcrumb-font-size",NA
"88","code-font-size","0.875em"
"89","kbd-font-size","0.875em"
